"Date: 2016-05-25+0000"
"Version: 2.0"
"Status:
0 Normal
1 Completed
2 Archived"
"List Name","Title","Content","Is Checklist","Due Date","Reminder","Repeat","Priority","Status","Completed Time","Order","Timezone","Is All Day"
"自我成长","[编程] Clojure 程序设计 [3h]","","N","2016-04-25T16:00:00+0000","","","0","2","2016-04-26T18:07:44+0000","-201210627883008","Asia/Shanghai","true"
"自我成长","[编程] pandas 时间序列备课 [2.5h]","","N","2016-04-24T16:00:00+0000","","","0","2","2016-04-25T16:18:07+0000","-200111116255232","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 [1h]","","N","2016-04-24T16:00:00+0000","","","0","2","2016-04-25T16:17:43+0000","-199011604627456","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 [3h]","","N","2016-04-23T16:00:00+0000","","","0","2","2016-04-25T16:17:29+0000","-197912092999680","Asia/Shanghai","true"
"自我成长","[编程] react starter kit [3h]","","N","2016-04-22T16:00:00+0000","","","0","2","2016-04-23T17:34:18+0000","-196812581371904","Asia/Shanghai","true"
"自我成长","[编程] pandas 数据 IO 视频剪辑 [1.5h]","","N","2016-04-22T16:00:00+0000","","","0","2","2016-04-23T12:44:14+0000","-195713069744128","Asia/Shanghai","true"
"自我成长","[编程] Clojure 程序设计 [1.5h]","","N","2016-04-22T16:00:00+0000","","","0","2","2016-04-23T12:43:46+0000","-194613558116352","Asia/Shanghai","true"
"自我成长","[阅读] 黑客与画家 [2h]","","N","2016-04-22T16:00:00+0000","","","0","2","2016-04-23T12:43:15+0000","-193514046488576","Asia/Shanghai","true"
"自我成长","[探索发现] 用 AWS 在 WEST US 建了一个新的VPN [2h]","","N","2016-04-21T16:00:00+0000","","","0","2","2016-04-23T12:42:52+0000","-192414534860800","Asia/Shanghai","true"
"自我成长","[编程] react 学习 [5h]","","N","2016-04-21T16:00:00+0000","","","0","2","2016-04-23T12:41:37+0000","-191315023233024","Asia/Shanghai","true"
"自我成长","[编程] react-native hello world [1h]","","N","2016-04-20T16:00:00+0000","","","0","2","2016-04-21T15:25:54+0000","-190215511605248","Asia/Shanghai","true"
"自我成长","[编程] pandas时间日期序列备课 [1.5h]","","N","2016-04-20T16:00:00+0000","","","0","2","2016-04-21T15:25:29+0000","-189115999977472","Asia/Shanghai","true"
"自我成长","[编程] pandas 聚合计算视频剪辑 [1.5h]","","N","2016-04-20T16:00:00+0000","","","0","2","2016-04-21T15:25:00+0000","-188016488349696","Asia/Shanghai","true"
"自我成长","[编程] pandas 分组计算视频剪辑 [1h]","","N","2016-04-19T16:00:00+0000","","","0","2","2016-04-21T06:28:36+0000","-186916976721920","Asia/Shanghai","true"
"自我成长","[编程] pandas 数据 IO 视频录制 [1h]","","N","2016-04-19T16:00:00+0000","","","0","2","2016-04-20T16:06:49+0000","-185817465094144","Asia/Shanghai","true"
"自我成长","[编程] pandas 数据 IO 备课 [2h]","","N","2016-04-19T16:00:00+0000","","","0","2","2016-04-20T06:41:24+0000","-184717953466368","Asia/Shanghai","true"
"自我成长","[编程] pandas 分组聚合视频录制 [1.5h]","","N","2016-04-18T16:00:00+0000","","","0","2","2016-04-20T06:41:02+0000","-183618441838592","Asia/Shanghai","true"
"自我成长","[编程] pandas 分组聚合备课 [1h]","","N","2016-04-18T16:00:00+0000","","","0","2","2016-04-20T06:40:45+0000","-182518930210816","Asia/Shanghai","true"
"自我成长","[编程] pandas 分组聚合备课 [2h]","","N","2016-04-17T16:00:00+0000","","","0","2","2016-04-20T06:40:32+0000","-181419418583040","Asia/Shanghai","true"
"自我成长","[编程] 研究 python 测试框架 [1h]","1. tox - 测试不同环境的 python 兼容性更容易2. 不同的测试框架 - http://pythontesting.net/start-here/unittest/nose/pytest/doctest","N","2016-04-12T16:00:00+0000","","","0","2","2016-04-13T17:07:47+0000","-180319906955264","Asia/Shanghai","true"
